date,revenue,quantity,sales_records,rolling_7_active_day_revenue,revenue_change
2022-11-07,5200.0,1519.23,3,5200.0,
2022-11-08,12400.07,1544.15,4,8800.035,1.3846288461538463
2022-11-09,14200.04,2206.7200000000003,5,10600.036666666667,0.14515805152712868
2022-11-10,13200.04,2006.3200000000002,4,11250.0375,-0.07042233683848775
2022-11-11,14400.02,2264.02,5,11880.034,0.09090730028090821
2022-11-12,14000.060000000001,2233.23,5,12233.371666666668,-0.027774961423664646
2022-11-13,27674.46,2217.83,5,14439.24142857143,0.9767386711199806
2022-11-14,17839.35,2233.23,5,16244.862857142858,-0.35538579614561583
2022-11-15,13600.03,2160.53,5,16416.285714285714,-0.23763870320387226
2022-11-16,13600.03,2160.53,5,16330.570000000002,0.0
2022-11-17,14000.06,2233.23,5,16444.858571428573,0.02941390570461966
2022-11-18,14400.11,2305.94,5,16444.87142857143,0.028574877536239107
2022-11-19,14000.02,2275.14,5,16444.865714285716,-0.027783815540297963
2022-11-20,8200.05,678.3,2,13662.807142857142,-0.41428297959574345
2022-11-21,14000.08,2327.54,5,13114.339999999998,0.7073164188023244
2022-11-22,13599.99,2296.74,5,13114.334285714285,-0.028577693841749463
2022-11-23,13800.04,2312.14,5,13142.907142857142,0.01470956963938952
2022-11-24,13600.029999999999,2254.83,5,13085.759999999998,-0.014493436250909597
2022-11-25,13399.98,2239.43,5,12942.884285714286,-0.014709526376044724
2022-11-26,13200.07,2224.04,5,12828.605714285713,-0.014918678983102951
2022-11-27,13399.98,2239.43,5,13571.452857142856,0.015144616657335908
2022-11-28,13400.05,2187.04,5,13485.734285714285,5.2238883938571234e-06
2022-11-29,13400.05,2187.04,5,13457.171428571428,0.0
2022-11-30,13600.09,2202.44,5,13428.607142857143,0.014928302506334035
2022-12-01,13400.11,2145.1400000000003,5,13400.047142857144,-0.014704314456742584
2022-12-02,14000.060000000001,2233.23,5,13485.772857142856,0.04477202052818985
2022-12-03,14000.060000000001,2233.23,5,13600.057142857144,0.0
2022-12-04,9000.1,739.89,2,12971.502857142857,-0.3571384694065597
2022-12-05,14200.04,2206.7200000000003,5,13085.787142857143,0.5777646915034278
2022-12-06,14000.119999999999,2191.33,5,13171.511428571428,-0.014078833580750572
2022-12-07,14000.060000000001,2233.23,5,13228.65,-4.285677551174594e-06
2022-12-08,14200.1,2248.63,5,13342.934285714287,0.014288510192099091
2022-12-09,14600.06,2279.42,5,13428.648571428572,0.028165998830994132
2022-12-10,14600.060000000001,2279.42,5,13514.362857142856,2.220446049250313e-16
2022-12-11,15000.09,2362.61,5,14371.504285714285,0.027399202469030826
2022-12-12,14600.06,2279.42,5,14428.65,-0.02666850665562681
2022-12-13,14600.06,2279.42,5,14514.355714285715,0.0
2022-12-14,14600.01,2284.12,5,14600.062857142857,-3.4246434603701914e-06
2022-12-15,14400.09,2268.73,5,14628.632857142857,-0.01369314130606758
2022-12-16,15000.029999999999,2367.31,5,14685.771428571428,0.04166223961100224
2022-12-17,15400.09,2440.02,5,14800.06142857143,0.026670613325440184
2022-12-18,15600.009999999998,2455.41,5,14885.764285714284,0.012981742314492895
2022-12-19,15799.960000000001,2428.89,5,15057.17857142857,0.012817299476090227
2022-12-20,16000.0,2444.29,5,15257.17,0.012660791546307726
2022-12-21,16399.97,2475.08,5,15514.307142857142,0.024998124999999982
2022-12-22,16599.97,2495.1800000000003,5,15828.575714285715,0.012195144259410151
2022-12-23,16000.02,2396.6,5,15971.43142857143,-0.036141631581261935
2022-12-24,16399.99,2427.3900000000003,5,16114.274285714286,0.02499809375238282
2022-12-25,16599.98,2447.4900000000002,5,16257.127142857144,0.012194519630804423
2022-12-26,17000.02,2482.9900000000002,5,16428.564285714285,0.024098824215450954
2022-12-27,17000.02,2482.9900000000002,5,16571.42428571429,0.0
2022-12-28,17599.97,2533.88,5,16742.852857142858,0.035291134951606073
2022-12-29,16800.079999999998,2344.18,4,16771.44,-0.04544837292336312
