dimension,member,rank,revenue,revenue_share,cumulative_revenue_share
product,Burgers,1,376999.85,0.4899182133847815,0.4899182133847815
product,Fries,2,125674.18999999999,0.16331591281370422,0.6532341261984858
product,Chicken Sandwiches,3,114641.67,0.14897895090899294,0.8022130771074787
product,Beverages,4,103200.18,0.1341105249951369,0.9363236021026156
product,Sides & Other,5,49000.0,0.06367639789738455,1.0
product_category,Main Course,1,491641.52,0.6388971642937745,0.6388971642937745
product_category,Sides,2,174674.19,0.2269923107110888,0.8658894750048634
product_category,Beverage,3,103200.18,0.1341105249951369,1.0000000000000002
city,Lisbon,1,241714.11,0.3141119152198404,0.3141119152198404
city,London,2,211201.05,0.27445963461521244,0.5885715498350528
city,Madrid,3,136200.29,0.17699477264855443,0.7655663224836072
city,Berlin,4,100600.13,0.13073171237568598,0.8962980348592933
city,Paris,5,79800.31,0.10370196514070686,1.0000000000000002
purchase_type,Online,1,305201.38,0.3966147859532829,0.3966147859532829
purchase_type,In-store,2,285714.02,0.37129060453839363,0.7679053904916766
purchase_type,Drive-thru,3,178600.49,0.23209460950832345,1.0
