record_id,order_id,date,product,city,purchase_type,payment_method,manager,price,quantity,revenue
rec_3f53f816a3a152a4,10452,2022-11-07,Fries,London,Online,Gift Card,Tom Jackson,3.49,573.07,2000.01
rec_4cda522b011b9598,10453,2022-11-07,Beverages,Madrid,Online,Gift Card,Pablo Perez,2.95,745.76,2199.99
rec_5f58a2e1989a8970,10454,2022-11-07,Sides & Other,Lisbon,In-store,Gift Card,Joao Silva,4.99,200.4,1000.0
rec_1b895400cec2eb48,10456,2022-11-08,Chicken Sandwiches,Berlin,In-store,Credit Card,Walter Muller,9.95,201.01,2000.05
rec_2c62dc24071c5be2,10455,2022-11-08,Burgers,Berlin,In-store,Credit Card,Walter Muller,12.99,569.67,7400.01
rec_7638aaf8dba4f49f,10459,2022-11-08,Sides & Other,Berlin,In-store,Credit Card,Walter Muller,4.99,200.4,1000.0
rec_9fdfda987ed94a05,10457,2022-11-08,Fries,Paris,In-store,Credit Card,Remy Monet,3.49,573.07,2000.01
rec_017bba58c9415a15,10464,2022-11-09,Sides & Other,Paris,In-store,Credit Card,Remy Monet,4.99,200.4,1000.0
rec_239905df09b4738e,10463,2022-11-09,Beverages,Paris,In-store,Credit Card,Remy Monet,2.95,677.97,2000.01
rec_6f667c882292b8e3,10462,2022-11-09,Fries,Paris,In-store,Credit Card,Remy Monet,3.49,573.07,2000.01
rec_a24811826379b6cc,10461,2022-11-09,Chicken Sandwiches,Paris,In-store,Credit Card,Remy Monet,9.95,201.01,2000.05
rec_ccaf561d3bbaf281,10460,2022-11-09,Burgers,Paris,In-store,Credit Card,Remy Monet,12.99,554.27,7199.97
rec_48baf407f73523bc,10465,2022-11-10,Burgers,Madrid,In-store,Credit Card,Pablo Perez,12.99,554.27,7199.97
rec_92f4b4a665e47514,10466,2022-11-10,Chicken Sandwiches,Madrid,In-store,Credit Card,Pablo Perez,9.95,201.01,2000.05
rec_a743f0ffe8ebfd8c,10468,2022-11-10,Beverages,Madrid,In-store,Credit Card,Pablo Perez,2.95,677.97,2000.01
rec_ec18af659270faf8,10467,2022-11-10,Fries,Madrid,In-store,Credit Card,Pablo Perez,3.49,573.07,2000.01
rec_326878fe3a20c6cf,10472,2022-11-11,Fries,Madrid,In-store,Credit Card,Pablo Perez,3.49,630.37,2199.99
rec_46a52b89aef474a4,10471,2022-11-11,Chicken Sandwiches,Madrid,In-store,Credit Card,Pablo Perez,9.95,201.01,2000.05
rec_ae74287ae1ff68db,10470,2022-11-11,Burgers,Madrid,In-store,Credit Card,Pablo Perez,12.99,554.27,7199.97
rec_b70b9a4e6500df16,10473,2022-11-11,Beverages,Madrid,In-store,Credit Card,Pablo Perez,2.95,677.97,2000.01
rec_e82c78137df961a4,10474,2022-11-11,Sides & Other,Madrid,In-store,Credit Card,Pablo Perez,4.99,200.4,1000.0
rec_0c83e4f7beba4413,10478,2022-11-12,Beverages,Madrid,In-store,Credit Card,Pablo Perez,2.95,677.97,2000.01
rec_407ae43eee4e8acb,10477,2022-11-12,Fries,Madrid,In-store,Credit Card,Pablo Perez,3.49,630.37,2199.99
rec_439c052896064a29,10476,2022-11-12,Chicken Sandwiches,Madrid,In-store,Credit Card,Pablo Perez,9.95,201.01,2000.05
rec_58f6b12b7d97fd7e,10479,2022-11-12,Sides & Other,Madrid,In-store,Credit Card,Pablo Perez,4.99,200.4,1000.0
rec_a145b3b85257240c,10475,2022-11-12,Burgers,Madrid,In-store,Credit Card,Pablo Perez,12.99,523.48,6800.01
rec_246203567a51b16f,10482,2022-11-13,Fries,Lisbon,In-store,Credit Card,Joao Silva,25.5,630.37,16074.44
rec_2e7a09a964f5eb25,10483,2022-11-13,Beverages,Lisbon,In-store,Credit Card,Joao Silva,2.95,677.97,2000.01
rec_c8b9f4d4f0a2ad9c,10481,2022-11-13,Chicken Sandwiches,Madrid,In-store,Credit Card,Pablo Perez,9.95,201.01,2000.05
rec_d8de1ce8f141ab8f,10484,2022-11-13,Sides & Other,Lisbon,In-store,Credit Card,Joao Silva,4.99,200.4,1000.0
rec_eb4da21136a1d79c,10480,2022-11-13,Burgers,Madrid,In-store,Credit Card,Pablo Perez,12.99,508.08,6599.96
rec_523f608129e28c40,10485,2022-11-14,Burgers,Lisbon,In-store,Credit Card,Joao Silva,12.99,523.48,6800.01
rec_555fc1a41a5e8c10,10488,2022-11-14,Beverages,Lisbon,In-store,Credit Card,Joao Silva,2.95,677.97,2000.01
rec_9977e5fa09a2fc8f,10486,2022-11-14,Chicken Sandwiches,Lisbon,In-store,Credit Card,Joao Silva,29.05,201.01,5839.34
rec_c8370ffc38f76c32,10489,2022-11-14,Sides & Other,Madrid,In-store,Credit Card,Pablo Perez,4.99,200.4,1000.0
rec_f88cddb11aa653d9,10487,2022-11-14,Fries,Lisbon,In-store,Credit Card,Joao Silva,3.49,630.37,2199.99
rec_1b5436dde7ccac52,10490,2022-11-15,Burgers,Madrid,In-store,Credit Card,Pablo Perez,12.99,508.08,6599.96
rec_542500bae1c958f4,10491,2022-11-15,Chicken Sandwiches,Madrid,In-store,Credit Card,Pablo Perez,9.95,201.01,2000.05
rec_6b78086c1f23bbd4,10494,2022-11-15,Sides & Other,Madrid,In-store,Credit Card,Pablo Perez,4.99,200.4,1000.0
rec_6e8de0c955396730,10492,2022-11-15,Fries,Madrid,In-store,Credit Card,Pablo Perez,3.49,573.07,2000.01
rec_9d58da482859be54,10493,2022-11-15,Beverages,Madrid,In-store,Credit Card,Pablo Perez,2.95,677.97,2000.01
rec_029134f2cd658de6,10499,2022-11-16,Sides & Other,Madrid,Drive-thru,Credit Card,Pablo Perez,4.99,200.4,1000.0
rec_0aa7a621a51aa951,10496,2022-11-16,Chicken Sandwiches,Madrid,In-store,Credit Card,Pablo Perez,9.95,201.01,2000.05
rec_56ec232c7ebb4fc8,10495,2022-11-16,Burgers,Madrid,In-store,Credit Card,Pablo Perez,12.99,508.08,6599.96
rec_8f8f096e1adf597e,10498,2022-11-16,Beverages,Madrid,Drive-thru,Credit Card,Pablo Perez,2.95,677.97,2000.01
rec_ccd796d948201c26,10497,2022-11-16,Fries,Madrid,In-store,Credit Card,Pablo Perez,3.49,573.07,2000.01
rec_5298a84a8554851a,10500,2022-11-17,Burgers,Madrid,Drive-thru,Credit Card,Pablo Perez,12.99,523.48,6800.01
rec_a06ae7e49ae08254,10502,2022-11-17,Fries,Madrid,Drive-thru,Credit Card,Pablo Perez,3.49,630.37,2199.99
rec_c622bfaeeea66571,10504,2022-11-17,Sides & Other,Madrid,Drive-thru,Credit Card,Pablo Perez,4.99,200.4,1000.0
rec_d6246483f9e39dc1,10503,2022-11-17,Beverages,Madrid,Drive-thru,Credit Card,Pablo Perez,2.95,677.97,2000.01
rec_e24c0646487c5e53,10501,2022-11-17,Chicken Sandwiches,Madrid,Drive-thru,Credit Card,Pablo Perez,9.95,201.01,2000.05
rec_08b31bbd7c0caae7,10505,2022-11-18,Burgers,Madrid,Drive-thru,Credit Card,Pablo Perez,12.99,538.88,7000.05
rec_80287fa37dd5332d,10509,2022-11-18,Sides & Other,Madrid,Drive-thru,Credit Card,Pablo Perez,4.99,200.4,1000.0
rec_9a823eaf86768be8,10506,2022-11-18,Chicken Sandwiches,Madrid,Drive-thru,Credit Card,Pablo Perez,9.95,201.01,2000.05
rec_ad122426634d1397,10507,2022-11-18,Fries,Madrid,Drive-thru,Credit Card,Pablo Perez,3.49,687.68,2400.0
rec_fcce25e69f4da118,10508,2022-11-18,Beverages,Madrid,Drive-thru,Credit Card,Pablo Perez,2.95,677.97,2000.01
rec_1930bf7131adece8,10511,2022-11-19,Chicken Sandwiches,Lisbon,Drive-thru,Credit Card,Joao Silva,9.95,201.01,2000.05
rec_4b22aea451f3b19a,10514,2022-11-19,Sides & Other,Lisbon,Drive-thru,Cash,Joao Silva,4.99,200.4,1000.0
rec_4caf4c4cfcf1e529,10513,2022-11-19,Beverages,Lisbon,Drive-thru,Cash,Joao Silva,2.95,677.97,2000.01
rec_6924be6edabac78d,10512,2022-11-19,Fries,Lisbon,Drive-thru,Credit Card,Joao Silva,3.49,687.68,2400.0
rec_940b84295fc5b7c7,10510,2022-11-19,Burgers,Madrid,Drive-thru,Credit Card,Pablo Perez,12.99,508.08,6599.96
rec_13dfc3075092def3,10516,2022-11-20,Chicken Sandwiches,Lisbon,Drive-thru,Cash,Joao Silva,9.95,201.01,2000.05
rec_8f3bc352dbd16d7b,10515,2022-11-20,Burgers,Lisbon,Drive-thru,Cash,Joao Silva,12.99,477.29,6200.0
rec_2c1c0f5629b6b842,10523,2022-11-21,Beverages,Paris,Drive-thru,Cash,Remy Monet,2.95,745.76,2199.99
rec_4dd0fdb3bfa8c508,10521,2022-11-21,Chicken Sandwiches,Paris,Drive-thru,Cash,Remy Monet,9.95,201.01,2000.05
rec_65a81f527b608359,10520,2022-11-21,Burgers,Paris,Drive-thru,Cash,Remy Monet,12.99,492.69,6400.04
rec_e07802943b8903eb,10524,2022-11-21,Sides & Other,Paris,Drive-thru,Cash,Remy Monet,4.99,200.4,1000.0
rec_fdcaaa46684bc855,10522,2022-11-21,Fries,Paris,Drive-thru,Cash,Remy Monet,3.49,687.68,2400.0
rec_1ad9d9620a497c8e,10525,2022-11-22,Burgers,Paris,Drive-thru,Cash,Remy Monet,12.99,461.89,5999.95
rec_39b78eabf219fc73,10529,2022-11-22,Sides & Other,Paris,Drive-thru,Cash,Remy Monet,4.99,200.4,1000.0
rec_4340a6ce28ec8cff,10528,2022-11-22,Beverages,Paris,Drive-thru,Cash,Remy Monet,2.95,745.76,2199.99
rec_6b33190fb7e1c8ca,10527,2022-11-22,Fries,Paris,Drive-thru,Cash,Remy Monet,3.49,687.68,2400.0
rec_7b37eda69a34a7d4,10526,2022-11-22,Chicken Sandwiches,Paris,Drive-thru,Cash,Remy Monet,9.95,201.01,2000.05
rec_1191baac106e6c9f,10530,2022-11-23,Burgers,Paris,Drive-thru,Cash,Remy Monet,12.99,477.29,6200.0
