source_row_number,action,field,reason,old_value,new_value
2,repaired,purchase_type,standardized_whitespace,Online ,Online
3,repaired,purchase_type,standardized_whitespace,Online ,Online
4,repaired,purchase_type,standardized_whitespace,In-store ,In-store
5,repaired,purchase_type,standardized_whitespace,In-store ,In-store
6,repaired,purchase_type,standardized_whitespace,In-store ,In-store
7,repaired,purchase_type,standardized_whitespace,In-store ,In-store
8,repaired,purchase_type,standardized_whitespace,In-store ,In-store
9,repaired,purchase_type,standardized_whitespace,In-store ,In-store
10,repaired,purchase_type,standardized_whitespace,In-store ,In-store
11,repaired,purchase_type,standardized_whitespace,In-store ,In-store
12,repaired,purchase_type,standardized_whitespace,In-store ,In-store
13,repaired,purchase_type,standardized_whitespace,In-store ,In-store
14,repaired,purchase_type,standardized_whitespace,In-store ,In-store
15,repaired,purchase_type,standardized_whitespace,In-store ,In-store
16,repaired,purchase_type,standardized_whitespace,In-store ,In-store
17,repaired,purchase_type,standardized_whitespace,In-store ,In-store
18,repaired,purchase_type,standardized_whitespace,In-store ,In-store
19,repaired,purchase_type,standardized_whitespace,In-store ,In-store
20,repaired,purchase_type,standardized_whitespace,In-store ,In-store
21,repaired,purchase_type,standardized_whitespace,In-store ,In-store
22,repaired,purchase_type,standardized_whitespace,In-store ,In-store
23,repaired,purchase_type,standardized_whitespace,In-store ,In-store
24,repaired,purchase_type,standardized_whitespace,In-store ,In-store
25,repaired,purchase_type,standardized_whitespace,In-store ,In-store
26,repaired,purchase_type,standardized_whitespace,In-store ,In-store
27,repaired,purchase_type,standardized_whitespace,In-store ,In-store
28,repaired,purchase_type,standardized_whitespace,In-store ,In-store
29,repaired,purchase_type,standardized_whitespace,In-store ,In-store
30,repaired,purchase_type,standardized_whitespace,In-store ,In-store
31,repaired,purchase_type,standardized_whitespace,In-store ,In-store
32,repaired,purchase_type,standardized_whitespace,In-store ,In-store
33,repaired,purchase_type,standardized_whitespace,In-store ,In-store
34,repaired,purchase_type,standardized_whitespace,In-store ,In-store
35,repaired,purchase_type,standardized_whitespace,In-store ,In-store
36,repaired,purchase_type,standardized_whitespace,In-store ,In-store
37,repaired,purchase_type,standardized_whitespace,In-store ,In-store
38,repaired,purchase_type,standardized_whitespace,In-store ,In-store
39,repaired,purchase_type,standardized_whitespace,In-store ,In-store
40,repaired,purchase_type,standardized_whitespace,In-store ,In-store
41,repaired,purchase_type,standardized_whitespace,In-store ,In-store
42,repaired,purchase_type,standardized_whitespace,In-store ,In-store
43,repaired,purchase_type,standardized_whitespace,Drive-thru ,Drive-thru
44,repaired,purchase_type,standardized_whitespace,Drive-thru ,Drive-thru
45,repaired,purchase_type,standardized_whitespace,Drive-thru ,Drive-thru
46,repaired,purchase_type,standardized_whitespace,Drive-thru ,Drive-thru
47,repaired,purchase_type,standardized_whitespace,Drive-thru ,Drive-thru
48,repaired,purchase_type,standardized_whitespace,Drive-thru ,Drive-thru
49,repaired,purchase_type,standardized_whitespace,Drive-thru ,Drive-thru
50,repaired,purchase_type,standardized_whitespace,Drive-thru ,Drive-thru
51,repaired,purchase_type,standardized_whitespace,Drive-thru ,Drive-thru
52,repaired,purchase_type,standardized_whitespace,Drive-thru ,Drive-thru
53,repaired,purchase_type,standardized_whitespace,Drive-thru ,Drive-thru
54,repaired,purchase_type,standardized_whitespace,Drive-thru ,Drive-thru
55,repaired,purchase_type,standardized_whitespace,Drive-thru ,Drive-thru
56,repaired,purchase_type,standardized_whitespace,Drive-thru ,Drive-thru
57,repaired,purchase_type,standardized_whitespace,Drive-thru ,Drive-thru
58,repaired,purchase_type,standardized_whitespace,Drive-thru ,Drive-thru
59,repaired,purchase_type,standardized_whitespace,Drive-thru ,Drive-thru
60,repaired,purchase_type,standardized_whitespace,Drive-thru ,Drive-thru
61,repaired,purchase_type,standardized_whitespace,Drive-thru ,Drive-thru
62,repaired,purchase_type,standardized_whitespace,In-store ,In-store
63,repaired,purchase_type,standardized_whitespace,In-store ,In-store
64,repaired,purchase_type,standardized_whitespace,In-store ,In-store
65,repaired,purchase_type,standardized_whitespace,Drive-thru ,Drive-thru
66,repaired,purchase_type,standardized_whitespace,Drive-thru ,Drive-thru
67,repaired,purchase_type,standardized_whitespace,Drive-thru ,Drive-thru
68,repaired,purchase_type,standardized_whitespace,Drive-thru ,Drive-thru
69,repaired,purchase_type,standardized_whitespace,Drive-thru ,Drive-thru
70,repaired,purchase_type,standardized_whitespace,Drive-thru ,Drive-thru
71,repaired,purchase_type,standardized_whitespace,Drive-thru ,Drive-thru
72,repaired,purchase_type,standardized_whitespace,Drive-thru ,Drive-thru
73,repaired,purchase_type,standardized_whitespace,Drive-thru ,Drive-thru
74,repaired,purchase_type,standardized_whitespace,Drive-thru ,Drive-thru
75,repaired,purchase_type,standardized_whitespace,Drive-thru ,Drive-thru
76,repaired,purchase_type,standardized_whitespace,Drive-thru ,Drive-thru
77,repaired,purchase_type,standardized_whitespace,Drive-thru ,Drive-thru
78,repaired,purchase_type,standardized_whitespace,Drive-thru ,Drive-thru
79,repaired,purchase_type,standardized_whitespace,Drive-thru ,Drive-thru
80,repaired,purchase_type,standardized_whitespace,Drive-thru ,Drive-thru
81,repaired,purchase_type,standardized_whitespace,Drive-thru ,Drive-thru
82,repaired,purchase_type,standardized_whitespace,Drive-thru ,Drive-thru
83,repaired,purchase_type,standardized_whitespace,Drive-thru ,Drive-thru
84,repaired,purchase_type,standardized_whitespace,Drive-thru ,Drive-thru
85,repaired,purchase_type,standardized_whitespace,Drive-thru ,Drive-thru
86,repaired,purchase_type,standardized_whitespace,Drive-thru ,Drive-thru
87,repaired,purchase_type,standardized_whitespace,Drive-thru ,Drive-thru
88,repaired,purchase_type,standardized_whitespace,Drive-thru ,Drive-thru
89,repaired,purchase_type,standardized_whitespace,Drive-thru ,Drive-thru
90,repaired,purchase_type,standardized_whitespace,Drive-thru ,Drive-thru
91,repaired,purchase_type,standardized_whitespace,Drive-thru ,Drive-thru
92,repaired,purchase_type,standardized_whitespace,Drive-thru ,Drive-thru
93,repaired,purchase_type,standardized_whitespace,Drive-thru ,Drive-thru
94,repaired,purchase_type,standardized_whitespace,Online ,Online
95,repaired,purchase_type,standardized_whitespace,Online ,Online
96,repaired,purchase_type,standardized_whitespace,Online ,Online
97,repaired,purchase_type,standardized_whitespace,Online ,Online
98,repaired,purchase_type,standardized_whitespace,Online ,Online
99,repaired,purchase_type,standardized_whitespace,Online ,Online
100,repaired,purchase_type,standardized_whitespace,Online ,Online
101,repaired,purchase_type,standardized_whitespace,Online ,Online
102,repaired,purchase_type,standardized_whitespace,Online ,Online
103,repaired,purchase_type,standardized_whitespace,Online ,Online
104,repaired,purchase_type,standardized_whitespace,Online ,Online
105,repaired,purchase_type,standardized_whitespace,Online ,Online
106,repaired,purchase_type,standardized_whitespace,Online ,Online
107,repaired,purchase_type,standardized_whitespace,Online ,Online
108,repaired,purchase_type,standardized_whitespace,Online ,Online
109,repaired,purchase_type,standardized_whitespace,Online ,Online
110,repaired,purchase_type,standardized_whitespace,Online ,Online
111,repaired,purchase_type,standardized_whitespace,Online ,Online
112,repaired,purchase_type,standardized_whitespace,Online ,Online
113,repaired,purchase_type,standardized_whitespace,Online ,Online
114,repaired,purchase_type,standardized_whitespace,Online ,Online
115,repaired,purchase_type,standardized_whitespace,Online ,Online
116,repaired,purchase_type,standardized_whitespace,Online ,Online
117,repaired,purchase_type,standardized_whitespace,Online ,Online
118,repaired,purchase_type,standardized_whitespace,Online ,Online
119,repaired,purchase_type,standardized_whitespace,Online ,Online
120,repaired,purchase_type,standardized_whitespace,Online ,Online
121,repaired,purchase_type,standardized_whitespace,Online ,Online
122,repaired,purchase_type,standardized_whitespace,Online ,Online
123,repaired,purchase_type,standardized_whitespace,Online ,Online
124,repaired,purchase_type,standardized_whitespace,Online ,Online
125,repaired,purchase_type,standardized_whitespace,Online ,Online
126,repaired,purchase_type,standardized_whitespace,Online ,Online
127,repaired,purchase_type,standardized_whitespace,Online ,Online
128,repaired,purchase_type,standardized_whitespace,Online ,Online
129,repaired,purchase_type,standardized_whitespace,Drive-thru ,Drive-thru
130,repaired,purchase_type,standardized_whitespace,Drive-thru ,Drive-thru
131,repaired,purchase_type,standardized_whitespace,Drive-thru ,Drive-thru
132,repaired,purchase_type,standardized_whitespace,Online ,Online
133,repaired,purchase_type,standardized_whitespace,Online ,Online
134,repaired,purchase_type,standardized_whitespace,Online ,Online
135,repaired,purchase_type,standardized_whitespace,Online ,Online
136,repaired,purchase_type,standardized_whitespace,Online ,Online
137,repaired,purchase_type,standardized_whitespace,Online ,Online
138,repaired,purchase_type,standardized_whitespace,Online ,Online
139,repaired,purchase_type,standardized_whitespace,Online ,Online
140,repaired,purchase_type,standardized_whitespace,Online ,Online
141,repaired,purchase_type,standardized_whitespace,Online ,Online
142,repaired,purchase_type,standardized_whitespace,Online ,Online
143,repaired,purchase_type,standardized_whitespace,Online ,Online
