metric,value,status
total_revenue,769515.8899999999,supported
total_orders,,unsupported_grain
total_line_items,,unsupported_grain
total_sales_records,254.0,supported
total_quantity_sold,116995.31000000001,supported_as_recorded_measure
average_order_value,,unsupported_grain
average_items_per_order,,unsupported_grain
average_selling_price,6.577322543954965,supported_weighted_average
active_sales_days,53.0,supported
average_daily_revenue,14519.167735849056,supported_active_days_only
median_daily_revenue,14200.04,supported_active_days_only
