source_row_number,order_id,date,product,price,quantity,purchase_type,payment_method,manager,city,product_original,product_category,revenue,record_id,year,month_num,month_name,month,week_start,week_num,day_num,day_name,day_of_week_num,is_weekend,period_type
2,10452,2022-11-07,Fries,3.49,573.07,Online,Gift Card,Tom Jackson,London,Fries,Sides,2000.01,rec_3f53f816a3a152a4,2022,11,Nov,2022-11,2022-11-07,45,7,Monday,1,False,complete_day
3,10453,2022-11-07,Beverages,2.95,745.76,Online,Gift Card,Pablo Perez,Madrid,Beverages,Beverage,2199.99,rec_4cda522b011b9598,2022,11,Nov,2022-11,2022-11-07,45,7,Monday,1,False,complete_day
4,10454,2022-11-07,Sides & Other,4.99,200.4,In-store,Gift Card,Joao Silva,Lisbon,Sides & Other,Sides,1000.0,rec_5f58a2e1989a8970,2022,11,Nov,2022-11,2022-11-07,45,7,Monday,1,False,complete_day
6,10456,2022-11-08,Chicken Sandwiches,9.95,201.01,In-store,Credit Card,Walter Muller,Berlin,Chicken Sandwiches,Main Course,2000.05,rec_1b895400cec2eb48,2022,11,Nov,2022-11,2022-11-07,45,8,Tuesday,2,False,complete_day
5,10455,2022-11-08,Burgers,12.99,569.67,In-store,Credit Card,Walter Muller,Berlin,Burgers,Main Course,7400.01,rec_2c62dc24071c5be2,2022,11,Nov,2022-11,2022-11-07,45,8,Tuesday,2,False,complete_day
8,10459,2022-11-08,Sides & Other,4.99,200.4,In-store,Credit Card,Walter Muller,Berlin,Sides & Other,Sides,1000.0,rec_7638aaf8dba4f49f,2022,11,Nov,2022-11,2022-11-07,45,8,Tuesday,2,False,complete_day
7,10457,2022-11-08,Fries,3.49,573.07,In-store,Credit Card,Remy Monet,Paris,Fries,Sides,2000.01,rec_9fdfda987ed94a05,2022,11,Nov,2022-11,2022-11-07,45,8,Tuesday,2,False,complete_day
13,10464,2022-11-09,Sides & Other,4.99,200.4,In-store,Credit Card,Remy Monet,Paris,Sides & Other,Sides,1000.0,rec_017bba58c9415a15,2022,11,Nov,2022-11,2022-11-07,45,9,Wednesday,3,False,complete_day
12,10463,2022-11-09,Beverages,2.95,677.97,In-store,Credit Card,Remy Monet,Paris,Beverages,Beverage,2000.01,rec_239905df09b4738e,2022,11,Nov,2022-11,2022-11-07,45,9,Wednesday,3,False,complete_day
11,10462,2022-11-09,Fries,3.49,573.07,In-store,Credit Card,Remy Monet,Paris,Fries,Sides,2000.01,rec_6f667c882292b8e3,2022,11,Nov,2022-11,2022-11-07,45,9,Wednesday,3,False,complete_day
10,10461,2022-11-09,Chicken Sandwiches,9.95,201.01,In-store,Credit Card,Remy Monet,Paris,Chicken Sandwiches,Main Course,2000.05,rec_a24811826379b6cc,2022,11,Nov,2022-11,2022-11-07,45,9,Wednesday,3,False,complete_day
9,10460,2022-11-09,Burgers,12.99,554.27,In-store,Credit Card,Remy Monet,Paris,Burgers,Main Course,7199.97,rec_ccaf561d3bbaf281,2022,11,Nov,2022-11,2022-11-07,45,9,Wednesday,3,False,complete_day
14,10465,2022-11-10,Burgers,12.99,554.27,In-store,Credit Card,Pablo Perez,Madrid,Burgers,Main Course,7199.97,rec_48baf407f73523bc,2022,11,Nov,2022-11,2022-11-07,45,10,Thursday,4,False,complete_day
15,10466,2022-11-10,Chicken Sandwiches,9.95,201.01,In-store,Credit Card,Pablo Perez,Madrid,Chicken Sandwiches,Main Course,2000.05,rec_92f4b4a665e47514,2022,11,Nov,2022-11,2022-11-07,45,10,Thursday,4,False,complete_day
17,10468,2022-11-10,Beverages,2.95,677.97,In-store,Credit Card,Pablo Perez,Madrid,Beverages,Beverage,2000.01,rec_a743f0ffe8ebfd8c,2022,11,Nov,2022-11,2022-11-07,45,10,Thursday,4,False,complete_day
16,10467,2022-11-10,Fries,3.49,573.07,In-store,Credit Card,Pablo Perez,Madrid,Fries,Sides,2000.01,rec_ec18af659270faf8,2022,11,Nov,2022-11,2022-11-07,45,10,Thursday,4,False,complete_day
20,10472,2022-11-11,Fries,3.49,630.37,In-store,Credit Card,Pablo Perez,Madrid,Fries,Sides,2199.99,rec_326878fe3a20c6cf,2022,11,Nov,2022-11,2022-11-07,45,11,Friday,5,False,complete_day
19,10471,2022-11-11,Chicken Sandwiches,9.95,201.01,In-store,Credit Card,Pablo Perez,Madrid,Chicken Sandwiches,Main Course,2000.05,rec_46a52b89aef474a4,2022,11,Nov,2022-11,2022-11-07,45,11,Friday,5,False,complete_day
18,10470,2022-11-11,Burgers,12.99,554.27,In-store,Credit Card,Pablo Perez,Madrid,Burgers,Main Course,7199.97,rec_ae74287ae1ff68db,2022,11,Nov,2022-11,2022-11-07,45,11,Friday,5,False,complete_day
21,10473,2022-11-11,Beverages,2.95,677.97,In-store,Credit Card,Pablo Perez,Madrid,Beverages,Beverage,2000.01,rec_b70b9a4e6500df16,2022,11,Nov,2022-11,2022-11-07,45,11,Friday,5,False,complete_day
22,10474,2022-11-11,Sides & Other,4.99,200.4,In-store,Credit Card,Pablo Perez,Madrid,Sides & Other,Sides,1000.0,rec_e82c78137df961a4,2022,11,Nov,2022-11,2022-11-07,45,11,Friday,5,False,complete_day
